"MSPEC","CIE_L.hd","CIE_a.hd","CIE_b.hd","R.hd","G.hd","B.hd","CIE_L.fd","CIE_a.fd","CIE_b.fd","R.fd","G.fd","B.fd","CIE_L.b","CIE_a.b","CIE_b.b","R.b","G.b","B.b","CIE_L.hv","CIE_a.hv","CIE_b.hv","R.hv","G.hv","B.hv","CIE_L.fv","CIE_a.fv","CIE_b.fv","R.fv","G.fv","B.fv"
"165",41.6812,6.4233,-4.7287,104.5032,95.28,106.2859,42.2248,5.9604,-3.6556,106.1289,96.8101,105.9365,51.5209,3.2509,4.3195,133.373,123.0339,117.4199,58.0505,4.4922,12.2491,155.7767,136.4006,118.5675,57.7161,4.9898,12.6259,155.8949,135.1818,117.1545
"205",36.105,5.1034,5.122,96.0357,81.9671,76.9356,41.1965,5.2887,7.9723,110.5112,93.8223,84.2903,41.5425,3.4518,5.0747,106.8795,96.1317,89.9459,46.436,4.1436,10.2743,123.5925,107.2,93.0953,50.3867,4.322,10.9955,134.5487,116.898,101.566
"230",40.873,4.5723,7.0996,108.2722,93.4787,84.9925,40.9212,5.4809,8.1348,110.436,93.0272,83.4635,46.086,2.5906,5.6865,117.7044,107.9273,100.1614,52.6794,4.5607,11.6209,141.2923,122.5403,106.1597,53.7874,4.9181,10.8874,144.3196,125.1471,110.1735
"329",38.9843,5.365,-1.8519,98.7174,89.2233,94.9578,39.4182,5.6262,-2.1636,99.8723,90.0979,96.5064,51.9319,2.7173,3.8494,132.0194,123.1009,118.1549,56.7057,4.0856,11.2437,150.8043,133.1712,116.9017,53.3819,4.7814,11.2119,143.2941,124.3611,108.7731
"3630",31.1179,4.9527,0.5734,80.6257,70.8468,72.4988,33.031,4.8099,4.1971,87.5219,75.0003,71.2408,36.4493,2.8567,4.757,92.8666,83.9135,77.9429,41.1897,3.9101,9.3117,109.3816,94.5494,82.1395,41.6644,3.9853,7.7497,109.8104,95.7287,85.832
"3671",35.7888,5.0188,-2.6096,89.638,81.8442,88.4324,34.1184,5.2991,-1.5081,86.8482,77.6797,82.6709,43.315,3.0724,4.1762,111.1002,101.8355,96.6565,50.0856,3.2723,13.8429,133.4648,116.5321,95.8989,46.6145,3.98,12.6578,125.0827,107.6441,89.6972
"3674",34.1111,4.6539,2.3617,88.7019,77.7922,76.6833,34.022,4.8121,6.4851,91.4281,77.2191,69.9789,50.2196,3.1119,4.6479,129.3626,119.1118,113.0344,50.2565,3.7166,14.7007,135.2573,116.7858,94.9187,47.6331,3.8119,10.8249,126.4977,110.3813,95.1767
"399",40.3052,4.784,2.7346,104.2895,92.4722,90.8217,40.0937,6.3713,2.5863,105.8767,90.9524,90.5624,51.1836,2.8184,6.5454,132.2897,121.2326,112.119,53.9871,4.8409,14.4049,146.7176,125.5609,104.6395,55.382,5.2683,13.8608,150.8081,128.9099,109.1185
"759",41.4638,5.1603,2.2182,107.1339,94.9741,94.2845,41.7929,5.74,1.5159,108.527,95.4441,96.2751,46.5383,2.2426,3.874,118.133,110.8958,105.7837,55.1093,3.1961,11.8208,145.3116,129.5406,111.8449,54.1685,4.111,13.1803,145.2118,126.4759,107.1651
"786",35.8798,3.8807,6.0129,94.3843,82.1717,74.9906,38.7364,5.0493,8.9808,104.8005,88.0543,76.9132,49.4207,2.9294,5.7572,127.2474,116.7508,108.7916,46.6133,4.0342,11.6926,124.956,107.8735,91.3262,50.1348,4.3942,12.6344,134.9223,116.1691,98.1661
"796",41.7682,3.3819,8.895,109.7737,96.319,84.1391,43.8919,4.3428,11.0519,117.7349,100.7607,85.6499,47.9171,2.6841,7.3987,123.7765,112.558,102.0499,48.2699,3.4837,13.0771,128.7972,111.9681,92.7587,52.2328,3.9056,13.339,139.8324,121.5867,102.0637
"1017",40.163,5.8204,1.1396,103.973,91.6338,92.8774,45.4498,5.3098,8.9549,121.8233,104.2266,92.8363,47.1317,2.7573,4.7711,120.5384,111.1662,104.732,53.256,4.1588,12.7021,142.7186,124.2049,105.736,56.4716,4.4127,11.7919,151.1406,132.2993,115.3605
"1030",40.6047,4.5666,3.434,105.2424,93.1302,90.2859,42.357,5.07,4.5648,111.096,96.9189,92.6738,46.7545,3.267,3.0955,119.1542,110.1882,106.7313,49.3736,4.0439,10.7357,131.1015,114.6096,99.4979,53.2476,4.7157,12.1066,143.178,123.8599,106.7318
"1040",40.3846,4.2877,9.1496,107.869,92.381,80.443,42.8099,4.5907,11.1422,115.4073,97.9057,82.9293,47.5653,2.754,5.8995,122.6665,112.4829,104.2123,51.6439,3.2715,12.0805,136.7226,120.7196,102.7599,54.8708,3.9727,13.2552,146.8891,128.2505,108.6884
