"ID","Family","Binomial","Ndaphnia","Sex","Site","Collector","Climate","Date","X30m","X60m","X120m","X180m","X240m","nbut","Notes","weight","death.p","Daphnia","time","death"
"2419","Lycaenidae","Zizina otis",10,"Female","MR","LO","Tropical","02/07/2023",0,0,5,8,8,1,NA,0.006,0.8,4,120,1
"2419","Lycaenidae","Zizina otis",10,"Female","MR","LO","Tropical","02/07/2023",0,0,5,8,8,1,NA,0.006,0.8,5,120,1
"2419","Lycaenidae","Zizina otis",10,"Female","MR","LO","Tropical","02/07/2023",0,0,5,8,8,1,NA,0.006,0.8,6,180,1
"2419","Lycaenidae","Zizina otis",10,"Female","MR","LO","Tropical","02/07/2023",0,0,5,8,8,1,NA,0.006,0.8,7,180,1
"2419","Lycaenidae","Zizina otis",10,"Female","MR","LO","Tropical","02/07/2023",0,0,5,8,8,1,NA,0.006,0.8,8,180,1
"2419","Lycaenidae","Zizina otis",10,"Female","MR","LO","Tropical","02/07/2023",0,0,5,8,8,1,NA,0.006,0.8,9,240,0
"2419","Lycaenidae","Zizina otis",10,"Female","MR","LO","Tropical","02/07/2023",0,0,5,8,8,1,NA,0.006,0.8,10,240,0
"2552","Lycaenidae","Zizina otis",10,"Male","MR","MFE","Tropical","02/07/2023",0,0,1,2,3,1,"scales in liquid",0.004,0.3,1,120,1
"2552","Lycaenidae","Zizina otis",10,"Male","MR","MFE","Tropical","02/07/2023",0,0,1,2,3,1,"scales in liquid",0.004,0.3,2,180,1
"2552","Lycaenidae","Zizina otis",10,"Male","MR","MFE","Tropical","02/07/2023",0,0,1,2,3,1,"scales in liquid",0.004,0.3,3,240,1
"2552","Lycaenidae","Zizina otis",10,"Male","MR","MFE","Tropical","02/07/2023",0,0,1,2,3,1,"scales in liquid",0.004,0.3,4,240,0
"2552","Lycaenidae","Zizina otis",10,"Male","MR","MFE","Tropical","02/07/2023",0,0,1,2,3,1,"scales in liquid",0.004,0.3,5,240,0
